LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,GDP
GRC,QGDP,TOT,PC_CHGPP,Q,2013-Q1,-2.192256,P,240313627008
GRC,QGDP,TOT,PC_CHGPP,Q,2013-Q2,0.077293,P,240499372619.723
GRC,QGDP,TOT,PC_CHGPP,Q,2013-Q3,0.44227,P,241563029195.009
GRC,QGDP,TOT,PC_CHGPP,Q,2013-Q4,-0.602028,P,240108752121.606
GRC,QGDP,TOT,PC_CHGPP,Q,2014-Q1,0.832724,P,242108195326.624
GRC,QGDP,TOT,PC_CHGPP,Q,2014-Q2,-0.175765,P,241682653857.108
GRC,QGDP,TOT,PC_CHGPP,Q,2014-Q3,1.231955,P,244660075395.433
GRC,QGDP,TOT,PC_CHGPP,Q,2014-Q4,-1.30594,P,241464961606.814
GRC,QGDP,TOT,PC_CHGPP,Q,2015-Q1,0.316227,P,242228539010.954
GRC,QGDP,TOT,PC_CHGPP,Q,2015-Q2,0.193021,P,242696090959.239
GRC,QGDP,TOT,PC_CHGPP,Q,2015-Q3,-1.588694,P,238840392723.935
GRC,QGDP,TOT,PC_CHGPP,Q,2015-Q4,1.649127,P,242779174127.251
GRC,QGDP,TOT,PC_CHGPP,Q,2016-Q1,-0.61939,P,241275424200.624
GRC,QGDP,TOT,PC_CHGPP,Q,2016-Q2,-0.355437,P,240417842071.108
GRC,QGDP,TOT,PC_CHGPP,Q,2016-Q3,0.508095,P,241639393105.78
GRC,QGDP,TOT,PC_CHGPP,Q,2016-Q4,-0.390554,P,240695660790.429
GRC,QGDP,TOT,PC_CHGPP,Q,2017-Q1,0.640281,P,242236789374.295
